VFD-E|2.23|8.5A|460V|3.7 ( 5 )|6|11|12|43|19|14|29|14|16|38|29|12|17|
Check    |Pr. No   |MODBUS   |Description     |Unit     |Data     |Default  |Min      |Max      |Attribute|Address  |Dot      |Attribute|
X        |09-07    |0907H    |Comm delay time  |x2ms     |1        |1        |0        |200      |Writable |0907     |0        |18       |
X        |09-08    |0908H    |CommCard speed   |bps      |2        |2        |0        |4        |Writable |0908     |0        |18       |
X        |09-09    |0909H    |CommCard format  |####     |1        |1        |0        |11       |Writable |0909     |0        |18       |
X        |09-10    |090AH    |CommCard fault   |####     |0        |0        |0        |3        |Writable |090A     |0        |18       |
X        |09-11    |090BH    |CommCard timeout |sec      |0.0      |0.0      |0.0      |120.0    |Writable |090B     |1        |274      |
X        |09-12    |090CH    |PLC2 source      |####     |0        |0        |0        |1        |Writable |090C     |0        |16       |
X        |*****    |*****    |10 - PID Control |*****    |*****    |*****    |*****    |*****    |*****    |*****    |*****    |         |
X        |10-00    |0A00H    |PID setpoint sel |####     |0        |0        |0        |4        |Writable |0A00     |0        |16       |
X        |10-01    |0A01H    |PID feedback sel |####     |0        |0        |0        |3        |Writable |0A01     |0        |16       |
X        |10-02    |0A02H    |PID P gain       |####     |1.0      |1.0      |0.0      |10.0     |Writable |0A02     |1        |4370     |
X        |10-03    |0A03H    |PID I gain       |sec      |1.00     |1.00     |0.00     |100.00   |Writable |0A03     |2        |4626     |
X        |10-04    |0A04H    |PID D gain       |sec      |0.00     |0.00     |0.00     |1.00     |Writable |0A04     |2        |4626     |
X        |10-05    |0A05H    |I upper bound    |%        |100      |100      |0        |100      |Writable |0A05     |0        |16       |
X        |10-06    |0A06H    |PID out filter   |sec      |0.0      |0.0      |0.0      |2.5      |Writable |0A06     |1        |272      |
X        |10-07    |0A07H    |PID out limit    |%        |100      |100      |0        |110      |Writable |0A07     |0        |16       |
X        |10-08    |0A08H    |PID fault time   |sec      |60.0     |60.0     |0.0      |3600.0   |Writable |0A08     |1        |272      |
X        |10-09    |0A09H    |PID fault mode   |####     |0        |0        |0        |2        |Writable |0A09     |0        |16       |
X        |10-10    |0A0AH    |PIDfeedback gain |####     |1.0      |1.0      |0.0      |10.0     |Writable |0A0A     |1        |272      |
X        |10-11    |0A0BH    |PID setpoint     |Hz       |0.00     |0.00     |0.00     |599.00   |Writable |0A0B     |2        |4626     |
X        |10-12    |0A0CH    |PID deviation L  |%        |10.0     |10.0     |1.0      |50.0     |Writable |0A0C     |1        |272      |
X        |10-13    |0A0DH    |PID deviation T  |sec      |5.0      |5.0      |0.1      |300.0    |Writable |0A0D     |1        |272      |
X        |10-14    |0A0EH    |PID sleep time   |sec      |0.0      |0.0      |0.0      |6550.0   |Writable |0A0E     |1        |272      |
X        |10-15    |0A0FH    |PID sleep freq   |Hz       |0.00     |0.00     |0.00     |599.00   |Writable |0A0F     |2        |528      |
X        |10-16    |0A10H    |PID wakeup freq  |Hz       |0.00     |0.00     |0.00     |599.00   |Writable |0A10     |2        |528      |
X        |10-17    |0A11H    |PID min freq sel |####     |0        |0        |0        |1        |Writable |0A11     |0        |16       |
